# data of a hypothetical catchment, these values may not correspond to real-world data
date,pet,pcp,tmax,tmin,temp,Qobs
1979-01-02,0.03246911996099869,0.0,-23.34375,-28.476562,-25.0625,0.5393454545454546
1979-01-03,0.051811466263503525,0.0,-19.226562,-27.9375,-21.9375,0.5393454545454546
1979-01-04,0.23983536452758172,0.046875,-18.359375,-19.859375,-18.90625,0.5393454545454546
1979-01-05,0.03280387701270848,1.8125,-11.9765625,-16.023438,-13.7734375,0.5393454545454546
1979-01-06,0.022074402493312703,7.421875,-6.890625,-12.109375,-9.7265625,0.5393454545454546
1979-01-07,0.07519722896853956,31.109375,-3.203125,-6.21875,-4.46875,0.5393454545454546
1979-01-08,0.11533939780102928,15.390625,-4.65625,-8.078125,-6.640625,0.5393454545454546
1979-01-09,0.0987493577986518,3.421875,-6.1171875,-9.90625,-7.84375,0.504
1979-01-10,-0.0416581913578265,0.0,-9.578125,-16.273438,-13.171875,0.504
1979-01-11,0.08887596794893507,0.046875,-10.25,-14.578125,-11.921875,0.504
1979-01-12,0.11498224116989657,0.0,-9.828125,-13.421875,-11.609375,0.504
1979-01-13,0.011221860941169517,0.3828125,-8.609375,-12.921875,-10.890625,0.46996363636363636
1979-01-14,-0.017866105940591057,0.0,-12.390625,-18.34375,-15.328125,0.46996363636363636
1979-01-15,0.017811703888474723,0.078125,-12.546875,-19.109375,-17.46875,0.46996363636363636
1979-01-16,-0.05770801002337887,2.328125,-4.359375,-10.390625,-6.640625,0.46996363636363636
1979-01-17,0.043497073869677334,0.546875,-4.703125,-9.6875,-7.296875,0.43854545454545457
1979-01-18,0.0739522738698835,0.0,-4.7734375,-11.171875,-7.9765625,0.43854545454545457
1979-01-19,0.17137104318925983,0.0,-9.421875,-13.3828125,-11.453125,0.43854545454545457
1979-01-20,0.27990540193012087,0.0,-9.953125,-13.328125,-11.609375,0.43854545454545457
1979-01-21,0.10953297947451257,0.0,-9.65625,-14.7734375,-12.171875,0.4071272727272727
1979-01-22,0.12071660684934657,0.046875,-8.453125,-12.390625,-10.421875,0.4071272727272727
1979-01-23,-0.01915523739946308,0.34375,-8.5625,-14.921875,-11.28125,0.4071272727272727
